Attack510Repeat1.txt,78.9674,384.421,384.421,-2.84E-13,22,110,0.980624,0.911501,41.6415,40.6845,41.6415,40.6845,41.6415,40.6845,41.6415,40.6845,41.6415,40.6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radius,22.834,45.668,68.502,91.336,114.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activeArcs_record,0,3,8,9,11,12,25,51,54,55,57,58,62,66,98,101,103,107,147,150,192,198,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0a,27.8504,18.5442,8.82907,12.336,12.0809,13.3211,14.2367,18.7705,15.2815,17.3562,20.132,20.1602,18.6901,17.7459,19.2428,19.8708,11.3555,10.8541,18.124,13.5108,14.5856,12.5452,31.1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoptimal_record,0.428571,0.142857,0.214286,0.214286,0.333333,0.0952381,0.142857,0.214286,0.0714286,0.142857,0.047619,0.285714,0.0952381,0.142857,0.285714,0.142857,0.047619,0.52381,0.428571,0.571429,0.428571,0.571429,0.428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,3.78,5.355,8.12,8.645,9.135,9.87,12.495,20.58,21.105,21.875,24.465,24.5,25.235,26.285,35.945,36.715,39.795,39.83,49.105,51.835,61.81,64.085,69.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,27.325,22.525,13.2,9.7,44.175,44.1,36.175,8.175,4.675,3.45,47.75,47.05,46.975,43.85,9.6,8.375,46.325,45.625,8.925,44.175,4.475,41.075,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1010Repeat1.txt,96.5232,613.842,613.842,3.41E-13,19,95,0.832427,0.786973,29.8735,9.0945,29.8735,9.0945,29.8735,9.0945,29.8735,9.0945,29.8735,9.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radius,23.236,46.472,69.708,92.944,116.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activeArcs_record,0,7,11,47,57,58,98,103,107,146,149,190,196,239,246,284,292,327,328,337,373,377,380,420,423,428,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0a,11.96,19.9771,6.02921,10.582,6.69198,6.99157,8.77513,9.06466,8.68093,5.81592,5.78468,9.75531,12.2688,4.98913,5.1631,6.28205,7.0287,8.68014,9.78899,8.63146,5.66414,6.17414,7.02033,11.5809,11.2439,20.948,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoptimal_record,0.481481,0.518519,0.481481,0.518519,0.203704,0.277778,0.518519,0.203704,0.277778,0.518519,0.481481,0.518519,0.481481,0.518519,0.481481,0.518519,0.481481,0.259259,0.259259,0.481481,0.259259,0.259259,0.481481,0.259259,0.259259,0.481481,0.518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,1.925,3.85,5.005,9.205,11.095,11.27,16.38,17.43,17.605,23.03,23.31,29.785,30.485,36.295,37.24,41.23,42.875,48.09,48.44,49.7,55.23,55.93,56.595,63.595,63.945,64.54,69.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,41.225,25.5,46.175,11.525,45.925,45.825,5.475,43.375,43.275,2.475,39.325,3.95,42.9,7.225,48.2,5.975,47.875,4.075,2.7,44.125,4.475,2.6,40.575,6.5,6,30.05,14.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1510Repeat1.txt,89.3085,870.628,870.628,3.41E-12,35,175,11.6017,11.418,29.8755,8.8835,29.8755,8.8835,29.8755,8.8835,29.8755,8.8835,29.8755,8.8835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radius,23.938,47.876,71.814,95.752,119.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
