num_attacks,num_ripples,attack_location,ripple_damage
2,7,"[(22.08, 23.42), (51.17, 37.04)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
3,5,"[(37.79, 11.2), (25.42, 47.34), (61.63, 6.35)]","[26.67, 17.78, 11.85, 7.9, 5.27]"
4,6,"[(38.99, 9.46), (30.0, 40.91), (54.68, 3.06), (14.54, 4.74)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
2,8,"[(42.17, 3.94), (26.64, 20.21)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
5,9,"[(28.71, 49.14), (33.95, 36.78), (64.95, 35.47), (8.71, 24.85), (45.94, 20.44)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22, 2.15, 1.43]"
5,6,"[(62.47, 30.25), (18.51, 46.04), (40.07, 1.13), (26.96, 41.55), (34.4, 23.0)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11]"
5,5,"[(8.71, 15.34), (33.72, 8.17), (27.11, 46.41), (12.86, 13.17), (6.03, 21.54)]","[15.33, 10.22, 6.81, 4.54, 3.03]"
3,5,"[(16.48, 27.32), (65.27, 36.87), (26.42, 2.83)]","[31.33, 20.89, 13.93, 9.28, 6.19]"
4,8,"[(9.2, 10.64), (67.57, 10.89), (39.23, 4.77), (54.06, 6.03)]","[18.0, 12.0, 8.0, 5.33, 3.56, 2.37, 1.58, 1.05]"
3,5,"[(38.94, 39.25), (13.07, 15.84), (26.39, 35.2)]","[36.67, 24.44, 16.3, 10.86, 7.24]"
5,8,"[(41.14, 21.15), (46.74, 42.93), (39.73, 4.59), (6.9, 9.05), (6.82, 25.65)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29]"
5,6,"[(11.56, 25.94), (12.26, 9.51), (45.31, 15.72), (31.85, 36.96), (60.22, 8.4)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39]"
2,5,"[(33.88, 46.8), (46.5, 16.62)]","[34.0, 22.67, 15.11, 10.07, 6.72]"
2,6,"[(61.71, 16.03), (53.89, 40.54)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72]"
3,8,"[(4.13, 8.14), (1.89, 29.99), (38.27, 45.08)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75, 1.83]"
4,9,"[(36.71, 42.57), (22.68, 13.2), (47.75, 2.69), (40.82, 46.53)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78]"
4,6,"[(22.09, 46.53), (42.56, 33.29), (39.25, 10.4), (44.68, 11.42)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57]"
5,5,"[(37.43, 14.75), (69.95, 44.57), (55.43, 10.89), (18.43, 45.36), (6.91, 49.13)]","[20.0, 13.33, 8.89, 5.93, 3.95]"
4,8,"[(62.89, 34.26), (54.18, 7.73), (22.33, 38.83), (64.62, 46.49)]","[32.0, 21.33, 14.22, 9.48, 6.32, 4.21, 2.81, 1.87]"
4,5,"[(15.05, 27.74), (47.41, 33.65), (36.81, 32.89), (47.59, 29.4)]","[28.67, 19.11, 12.74, 8.49, 5.66]"
4,9,"[(1.24, 23.0), (40.76, 1.06), (63.17, 26.02), (59.38, 41.79)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58, 1.72, 1.14]"
4,8,"[(4.14, 13.53), (18.94, 12.45), (16.74, 25.34), (14.08, 31.65)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76]"
2,8,"[(21.02, 41.34), (16.71, 8.99)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11]"
3,7,"[(29.52, 5.82), (52.57, 2.81), (37.89, 11.32)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09, 3.39]"
3,8,"[(15.05, 12.76), (25.15, 39.16), (66.18, 9.94)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75, 1.83]"
3,9,"[(14.68, 46.13), (44.84, 33.21), (30.11, 4.85)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58, 1.72, 1.14]"
