Attack1010Repeat1.txt,radius,activeArcs_record,C0a,Yoptimal_record,x,y
96.5232,1.65971,0,11.96,0.0833466,1.925,41.225
743.449,3.31943,1,8.49165,0.0906294,2.1,39.475
788.304,4.97914,2,8.13748,0.213163,2.275,39.275
44.8555,6.63886,3,7.70146,0.280881,2.555,39
3472,8.29857,4,5.7079,0.0449664,2.8,37.875
3472,9.95829,5,3.87232,0.0887703,3.465,36
3603.69,11.618,6,7.55463,0.0205135,3.605,32
33.7246,,7,19.9771,0.121884,3.85,25.5
0,,8,30.3819,0.0351942,4.375,20.3
0,,9,34.0121,0.0206518,4.62,18.5
0,,10,3.51746,0,2.345,45.45
0,,11,6.02921,0.0554146,5.005,46.175
0,,12,9.73397,0.027932,6.3,44.625
0,,13,3.51746,0,2.345,45.45
,,14,0.531507,0,2.695,43.5
,,15,5.51406,0.0374599,5.18,44.425
,,16,8.08026,0.0158441,6.475,42.875
,,17,8.65465,0.0373255,6.51,42.025
,,18,0.531507,0,2.695,43.5
,,19,0.78492,0,3.15,43.025
,,20,7.66264,0.0704069,6.65,42.675
,,21,8.18043,0.0900523,6.685,41.825
,,22,10.1522,0.0527033,6.79,40.075
,,23,0.78492,0,3.15,43.025
,,24,2.30274,0,3.675,41.625
,,25,7.46625,0.129147,6.965,41.55
,,26,9.37061,0.149301,7.07,39.8
,,27,17.7262,0.00243299,7.245,34.75
,,28,2.30274,0,3.675,41.625
,,29,3.97887,0,4.585,38.625
,,30,7.70887,0.0153985,7.315,38.675
,,31,15.4933,0.00569421,7.49,33.625
,,32,23.1702,0.0238737,7.63,29.525
,,33,3.97887,0,4.585,38.625
,,34,8.0049,0,5.39,32.75
,,35,11.5653,0.050691,8.155,31.75
,,36,19.1919,0.00308055,8.295,27.65
,,37,23.3728,0.0349988,8.75,25.6
,,38,8.0049,0,5.39,32.75
,,39,13.0092,0,5.775,22.25
,,40,11.7387,0.00973526,8.435,23.65
,,41,15.8003,0.0107782,8.89,21.6
,,42,16.6308,0,8.96,21.175
,,43,13.0092,0,5.775,22.25
,,44,10.4529,0,6.545,10.55
,,45,6.36419,0.0234313,9.135,15.1
,,46,6.72305,0.038112,9.205,14.675
,,47,10.582,0.0603408,9.205,11.525
,,48,10.4529,0,6.545,10.55
,,49,3.63319,0,7.315,3.55
,,50,9.81656,0,9.73,9.475
,,51,5.66612,0.0351942,9.73,6.325
,,52,6.80177,0,10.465,5.15
,,53,3.63319,0,7.315,3.55
,,54,7.3574,0,9.975,4.525
,,55,7.06612,0.0206518,10.71,3.35
,,56,4.03957,0,9.135,43.6
,,57,6.69198,0.0590185,11.095,45.925
